nama_rumah_makan,alamat,kategori,menu,range_harga,kategori_harga,suasana,tipe_pengunjung,fasilitas,deskripsi,metadata_tfidf,metadata_tfidf_processed
Fuego Roasthouse & Norge Parlor,"Jl. Banda No.4, Kelurahan Merdeka, Kecamatan Sumur Bandung",Western Food,"Americano, Apple Cinnamon, Artisan Tea, Baked Potato, Beef Stew, Chicken Fingers, Cookies, Dark Citroun, French Fries, Fuego Tea, Grilled Chicken, Ice Cream, Matcha Latte, Mocktail, Peri-Peri Ribs, Potato Wedges, Whole Roasted Chicken",  Rp. 50.000 - 75.000  ,Sedang,"Nyaman, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Keluarga, Turis","Toilet, Wi-Fi , Parkiran","Destinasi kuliner yang wajib dikunjungi, Fuego Roasthouse & Norge Parlor dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Buruan mampir sebelum kehabisan!","Fuego Roasthouse & Norge Parlor Western Food Americano, Apple Cinnamon, Artisan Tea, Baked Potato, Beef Stew, Chicken Fingers, Cookies, Dark Citroun, French Fries, Fuego Tea, Grilled Chicken, Ice Cream, Matcha Latte, Mocktail, Peri-Peri Ribs, Potato Wedges, Whole Roasted Chicken Nyaman, Santai, Tenang, Trendi Toilet, Wi-Fi , Parkiran Berkelompok, Mahasiswa, Keluarga, Turis Jl. Banda No.4, Kelurahan Merdeka, Kecamatan Sumur Bandung Sedang Destinasi kuliner yang wajib dikunjungi, Fuego Roasthouse & Norge Parlor dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, wi-fi, parkiran. Sempurna untuk berkelompok. Buruan mampir sebelum kehabisan!",fuego roasthouse norge parlor western food americano apple cinnamon artisan tea baked potato beef stew chicken fingers cookies dark citroun french fries fuego tea grilled chicken ice cream matcha latte mocktail peri peri ribs potato wedges whole roasted chicken nyaman santai tenang trendi toilet wi fi parkir kelompok mahasiswa keluarga turis jl banda no lurah merdeka camat sumur bandung sedang destinasi wajib kunjung fuego roasthouse norge parlor suasana nyaman buat betah lama lama lengkap toilet awat wi fi parkir sempurna kelompok buru mampir habis
Gang Selera,"Jl. Cibadak Gg. Bengkel Ebeh No.38/8e, RT.04/RW.01, Kelurahan Cibadak, Kecamatan Astanaanyar",Masakan Indonesia,"Avocado Juice, Bubur Campur, Bubur Kampium, Es Kopi Susu, Iced Lemon Tea, Macam2 Kolak, Mie Ayam Manis, Mie Ayam Rica, Nasi Ayam Gepuk Urap, Nasi Goreng Cumi Hitam, Nasi Mandhi, Rosella Tea, Strawberry Juice, Teh Chamomile",  Rp. 25.000 - 50.000  ,Sedang,Santai,"Mahasiswa, Keluarga","Toilet, Parkiran","Hadir dengan cita rasa autentik, Gang Selera dengan suasana santai yang cocok untuk bersantai dan dilengkapi toilet yang terawat, parkiran. Tempat nongkrong favorit mahasiswa dan anak muda. Buruan mampir sebelum kehabisan!","Gang Selera Masakan Indonesia Avocado Juice, Bubur Campur, Bubur Kampium, Es Kopi Susu, Iced Lemon Tea, Macam2 Kolak, Mie Ayam Manis, Mie Ayam Rica, Nasi Ayam Gepuk Urap, Nasi Goreng Cumi Hitam, Nasi Mandhi, Rosella Tea, Strawberry Juice, Teh Chamomile Santai Toilet, Parkiran Mahasiswa, Keluarga Jl. Cibadak Gg. Bengkel Ebeh No.38/8e, RT.04/RW.01, Kelurahan Cibadak, Kecamatan Astanaanyar Sedang Hadir dengan cita rasa autentik, Gang Selera dengan suasana santai yang cocok untuk bersantai dan dilengkapi toilet yang terawat, parkiran. Tempat nongkrong favorit mahasiswa dan anak muda. Buruan mampir sebelum kehabisan!",gang selera indonesia avocado juice bubur campur bubur kampium es kopi susu iced lemon tea macam kolak mie ayam manis mie ayam rica nasi ayam gepuk urap nasi goreng cumi hitam nasi mandhi rosella tea strawberry juice teh chamomile santai toilet parkir mahasiswa keluarga jl cibadak gg bengkel ebeh no e rt rw lurah cibadak camat astanaanyar sedang hadir cita rasa autentik gang selera suasana santai cocok santa lengkap toilet awat parkir nongkrong favorit mahasiswa anak muda buru mampir habis
Ganitri Outdoor Cafe & Resto,"Jl. Sirnagalih, Kelurahan Gegerkalong, Kecamatan Sukasari",Cafe & Dessert,"Ayam Geprek Tahu Isi Juice Nanas J, BBQ, Beef, Caffe Latte, Cokies and Cream Milkshake, Dimsum, Hot Cappuccino, Hot LattÃƒÂ©, Iga Bakar, Juice Strawberry, Kentang Goreng Sosis, Mocktail Spring, Nasi Bakar Ayam Kemangi, Nasi Goreng Cikur, Paket Ayam Geprek, Spagetti, Summer, Tahu Walik Cireng Kentang Sosis",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Turis","Toilet, Parkiran","Menawarkan kelezatan tiada tara, Ganitri Outdoor Cafe & Resto dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!","Ganitri Outdoor Cafe & Resto Cafe & Dessert Ayam Geprek Tahu Isi Juice Nanas J, BBQ, Beef, Caffe Latte, Cokies and Cream Milkshake, Dimsum, Hot Cappuccino, Hot LattÃƒÂ©, Iga Bakar, Juice Strawberry, Kentang Goreng Sosis, Mocktail Spring, Nasi Bakar Ayam Kemangi, Nasi Goreng Cikur, Paket Ayam Geprek, Spagetti, Summer, Tahu Walik Cireng Kentang Sosis Nyaman, Santai, Tenang, Trendi Toilet, Parkiran Berkelompok, Mahasiswa, Turis Jl. Sirnagalih, Kelurahan Gegerkalong, Kecamatan Sukasari Sedang Menawarkan kelezatan tiada tara, Ganitri Outdoor Cafe & Resto dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!",ganitri outdoor dessert ayam geprek tahu isi juice nanas j bbq beef caffe latte cokies and cream milkshake dimsum hot cappuccino hot latt iga bakar juice strawberry kentang goreng sosis mocktail spring nasi bakar ayam kemangi nasi goreng cikur paket ayam geprek spagetti summer tahu walik cireng kentang sosis nyaman santai tenang trendi toilet parkir kelompok mahasiswa turis jl sirnagalih lurah gegerkalong camat sukasari sedang tawar lezat tiada tara ganitri outdoor suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna kelompok kunjung sekarang rasa sendiri lezat
Gastro Meat & Grill,"Jl. Braga No.40, Kelurahan Braga, Kecamatan Sumur Bandung",Masakan Non Halal,"Chiken Nashville Rive, Beef Nashville Rice, Nashville Chiken Burger, Spicy Crispy Chiken, Pesto & Bacon Panini",  Rp. 100.000 - 125.000 ,Mahal,"Nyaman, Santai, Trendi","Berkelompok, Mahasiswa",Toilet,"Menghadirkan sensasi kuliner istimewa, Gastro Meat & Grill dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!","Gastro Meat & Grill Masakan Non Halal Chiken Nashville Rive, Beef Nashville Rice, Nashville Chiken Burger, Spicy Crispy Chiken, Pesto & Bacon Panini Nyaman, Santai, Trendi Toilet Berkelompok, Mahasiswa Jl. Braga No.40, Kelurahan Braga, Kecamatan Sumur Bandung Mahal Menghadirkan sensasi kuliner istimewa, Gastro Meat & Grill dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!",gastro meat grill non halal chiken nashville rive beef nashville rice nashville chiken burger spicy crispy chiken pesto bacon panini nyaman santai trendi toilet kelompok mahasiswa jl braga no lurah braga camat sumur bandung mahal hadir sensasi istimewa gastro meat grill suasana nyaman buat betah lama lama lengkap toilet awat sempurna kelompok nikmat alam baik sini
Gaya Brasserie,"Jl. L. L. R.E. Martadinata No.133, Kelurahan Cihapit, Kecamatan Bandung Wetan",Western Food,"Ayam Bakar Lombok, Chicken Gordon Blue, Es Pisang IJO, Free Takjil, Fried Ice Cream, Lupa, Lychee Tea, Mac N Cheese, Nasi Ayam Rempah, Pannacotta, Rempah Tea, Spaghetti Aglio E Olio",  Rp. 50.000 - 75.000  ,Sedang,"Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Turis","Toilet, Parkiran","Destinasi kuliner yang wajib dikunjungi, Gaya Brasserie dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Jangan lewatkan kesempatan untuk mencicipinya!","Gaya Brasserie Western Food Ayam Bakar Lombok, Chicken Gordon Blue, Es Pisang IJO, Free Takjil, Fried Ice Cream, Lupa, Lychee Tea, Mac N Cheese, Nasi Ayam Rempah, Pannacotta, Rempah Tea, Spaghetti Aglio E Olio Nyaman, Romantis, Santai, Tenang, Trendi Toilet, Parkiran Berkelompok, Mahasiswa, Turis Jl. L. L. R.E. Martadinata No.133, Kelurahan Cihapit, Kecamatan Bandung Wetan Sedang Destinasi kuliner yang wajib dikunjungi, Gaya Brasserie dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Jangan lewatkan kesempatan untuk mencicipinya!",gaya brasserie western food ayam bakar lombok chicken gordon blue es pisang ijo free takjil fried ice cream lupa lychee tea mac n cheese nasi ayam rempah pannacotta rempah tea spaghetti aglio e olio nyaman romantis santai tenang trendi toilet parkir kelompok mahasiswa turis jl l l r e martadinata no lurah cihapit camat bandung wetan sedang destinasi wajib kunjung gaya brasserie suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna kelompok jangan lewat sempat cicip
Gelora Minang Restaurant,"Jl. Lembong No.22, Kelurahan Braga, Kecamatan Sumur Bandung",Masakan Indonesia,"Daging Cincang Perkedel, Es Jeruk, Lauk Ikan Kerapu, Nasi Dendeng, Nasi Padang Kepala Kakap, Nasi Rendang, Nasi Usus, Sambal",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai",-,"Toilet, Parkiran","Menghadirkan sensasi kuliner istimewa, Gelora Minang Restaurant dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk -. Nikmati pengalaman kuliner terbaik di sini!","Gelora Minang Restaurant Masakan Indonesia Daging Cincang Perkedel, Es Jeruk, Lauk Ikan Kerapu, Nasi Dendeng, Nasi Padang Kepala Kakap, Nasi Rendang, Nasi Usus, Sambal Nyaman, Santai Toilet, Parkiran - Jl. Lembong No.22, Kelurahan Braga, Kecamatan Sumur Bandung Sedang Menghadirkan sensasi kuliner istimewa, Gelora Minang Restaurant dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk -. Nikmati pengalaman kuliner terbaik di sini!",gelora mang restaurant indonesia daging cincang perkedel es jeruk lauk ikan kerapu nasi dendeng nasi padang kepala kakap nasi rendang nasi usus sambal nyaman santai toilet parkir jl lembong no lurah braga camat sumur bandung sedang hadir sensasi istimewa gelora mang restaurant suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna nikmat alam baik sini
Giga Bites,"Jl. Ciliwung No.14, Kelurahan Cihapit, Kecamatan Bandung Wetan",Western Food,"Bolu Bakar Roombutter, Giga Thai Chicken Rice, Kuotie Ayam, Mexican Animal Style Fries, Mie Ayam Hitam, Tadaima Rice, Thai Chicken with Rice",  Rp. 25.000 - 50.000  ,Sedang,"Nyaman, Santai, Trendi","Berkelompok, Mahasiswa","Toilet, Parkiran","Surganya para penikmat kuliner, Giga Bites dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Jangan lewatkan kesempatan untuk mencicipinya!","Giga Bites Western Food Bolu Bakar Roombutter, Giga Thai Chicken Rice, Kuotie Ayam, Mexican Animal Style Fries, Mie Ayam Hitam, Tadaima Rice, Thai Chicken with Rice Nyaman, Santai, Trendi Toilet, Parkiran Berkelompok, Mahasiswa Jl. Ciliwung No.14, Kelurahan Cihapit, Kecamatan Bandung Wetan Sedang Surganya para penikmat kuliner, Giga Bites dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Jangan lewatkan kesempatan untuk mencicipinya!",giga bites western food bolu bakar roombutter giga thai chicken rice kuotie ayam mexican animal style fries mie ayam hitam tadaima rice thai chicken with rice nyaman santai trendi toilet parkir kelompok mahasiswa jl ciliwung no lurah cihapit camat bandung wetan sedang surga nikmat giga bites suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna kelompok jangan lewat sempat cicip
Gijon Steakhouse,"Jl. Trunojoyo No.48, Kelurahan Citarum, Kecamatan Bandung Wetan",Western Food,"Black Angus, Bone Marrow Butter, Burnt Basque Cheesecake, Calamari Rings, Choco Fondant, Dry Age Steak, Japanese Citrus Lemonade, Nachos, Panna Cotta, Salmon Wellington, Sea Salt Condiments, Steaks, Thai Beef Salad, Tiramisu Cheese Cake, Tiramisu Noir Chocolate, Wagyu Butter",  Rp. 250.000 +  ,Mahal,"Kelas atas, Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Keluarga, Turis","Memiliki bar, Toilet, Wi-Fi, Parkiran","Tempat favorit para pecinta kuliner, Gijon Steakhouse dengan suasana kelas atas yang menyenangkan dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Dijamin nagih dan pengen balik lagi!","Gijon Steakhouse Western Food Black Angus, Bone Marrow Butter, Burnt Basque Cheesecake, Calamari Rings, Choco Fondant, Dry Age Steak, Japanese Citrus Lemonade, Nachos, Panna Cotta, Salmon Wellington, Sea Salt Condiments, Steaks, Thai Beef Salad, Tiramisu Cheese Cake, Tiramisu Noir Chocolate, Wagyu Butter Kelas atas, Nyaman, Romantis, Santai, Tenang, Trendi Memiliki bar, Toilet, Wi-Fi, Parkiran Berkelompok, Keluarga, Turis Jl. Trunojoyo No.48, Kelurahan Citarum, Kecamatan Bandung Wetan Mahal Tempat favorit para pecinta kuliner, Gijon Steakhouse dengan suasana kelas atas yang menyenangkan dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Dijamin nagih dan pengen balik lagi!",gijon steakhouse western food black angus bone marrow butter burnt basque cheesecake calamari rings choco fondant dry age steak japanese citrus lemonade nachos panna cotta salmon wellington sea salt condiments steaks thai beef salad tiramisu cheese cake tiramisu noir chocolate wagyu butter kelas atas nyaman romantis santai tenang trendi milik bar toilet wi fi parkir kelompok keluarga turis jl trunojoyo no lurah citarum camat bandung wetan mahal favorit cinta gijon steakhouse suasana kelas atas senang lengkap milik bar toilet awat wi fi sempurna kelompok jamin nagih ken balik
Gogrill-Ah!,"Jl. Cihampelas No.60, Kelurahan Tamansari, Kecamatan Bandung Wetan",Western Food,"AYCE, All U Can Eat, BBQ Grilled, Beef Slice, Bersih, Fresh Dory Fish, Meats, Mie, Nasi, Paket Lengkap Aneka Grill, Seafood, Spageti Bolognese, Wagyu Meat",  Rp. 100.000 - 125.000 ,Mahal,"Nyaman, Santai, Trendi","Berkelompok, Mahasiswa, Turis","Toilet, Parkiran","Tempat favorit para pecinta kuliner, Gogrill-Ah! dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!","Gogrill-Ah! Western Food AYCE, All U Can Eat, BBQ Grilled, Beef Slice, Bersih, Fresh Dory Fish, Meats, Mie, Nasi, Paket Lengkap Aneka Grill, Seafood, Spageti Bolognese, Wagyu Meat Nyaman, Santai, Trendi Toilet, Parkiran Berkelompok, Mahasiswa, Turis Jl. Cihampelas No.60, Kelurahan Tamansari, Kecamatan Bandung Wetan Mahal Tempat favorit para pecinta kuliner, Gogrill-Ah! dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Nikmati pengalaman kuliner terbaik di sini!",gogrill ah western food ayce all u can eat bbq grilled beef slice bersih fresh dory fish meats mie nasi paket lengkap aneka grill seafood spageti bolognese wagyu meat nyaman santai trendi toilet parkir kelompok mahasiswa turis jl cihampelas no lurah tamansari camat bandung wetan mahal favorit cinta gogrill ah suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna kelompok nikmat alam baik sini
Goldstar 360,"Jl. Dangdeur Indah No.2b, Kelurahan Sukagalih, Kecamatan Sukajadi",Western Food,"Banana Split, Cappuccino Latte, Cappucino, Chocolate Cheese, Cokelat Panas, Dori Spicy Hula Hula, Fish and Chips, Full House Platter, Ginger Chicken Steak, Goldstar, IGA Bakar, Nasgor Mozarella, Ngopi, Sapi Lada Hitam, Shisha, Soto Ayam, Squash, Sup Buntut, Tahu Cabe Garam, Tenderloin Steak Mozarella",  Rp. 75.000 - 100.000 ,Sedang,"Nyaman, Romantis, Santai, Tenang, Trendi","Berkelompok, Mahasiswa, Turis","Memiliki bar, Toilet, Wi-Fi, Parkiran","Pilihan tepat untuk menikmati hidangan berkualitas, Goldstar 360 dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!","Goldstar 360 Western Food Banana Split, Cappuccino Latte, Cappucino, Chocolate Cheese, Cokelat Panas, Dori Spicy Hula Hula, Fish and Chips, Full House Platter, Ginger Chicken Steak, Goldstar, IGA Bakar, Nasgor Mozarella, Ngopi, Sapi Lada Hitam, Shisha, Soto Ayam, Squash, Sup Buntut, Tahu Cabe Garam, Tenderloin Steak Mozarella Nyaman, Romantis, Santai, Tenang, Trendi Memiliki bar, Toilet, Wi-Fi, Parkiran Berkelompok, Mahasiswa, Turis Jl. Dangdeur Indah No.2b, Kelurahan Sukagalih, Kecamatan Sukajadi Sedang Pilihan tepat untuk menikmati hidangan berkualitas, Goldstar 360 dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi memiliki bar, toilet yang terawat, wi-fi. Sempurna untuk berkelompok. Kunjungi sekarang dan rasakan sendiri kelezatannya!",goldstar western food banana split cappuccino latte cappucino chocolate cheese cokelat panas dor spicy hula hula fish and chips full house platter ginger chicken steak goldstar iga bakar nasgor mozarella ngopi sapi lada hitam shisha soto ayam squash sup buntut tahu cabe garam tenderloin steak mozarella nyaman romantis santai tenang trendi milik bar toilet wi fi parkir kelompok mahasiswa turis jl dangdeur indah no b lurah sukagalih camat sukajadi sedang pilih tepat nikmat hidang kualitas goldstar suasana nyaman buat betah lama lama lengkap milik bar toilet awat wi fi sempurna kelompok kunjung sekarang rasa sendiri lezat
Greens And Beans,"Jl. Bahureksa No.9, Kelurahan Citarum, Kecamatan Bandung Wetan",Japanese Food,"5 Spices Lemonade, Chai Cappucino, Custom Salad, Dressing, Fish Ball Soup, Hot Chai Thai, Kale Smoothies, Korean Bibimbap, Nasi Campur Bali Matah, Pitaya Pump Up, Salmon Teriyaki, Tempeh Buddha Bowl, Thai Beef Salad, Thai Salad, Vietnamese Noodle Salad, Vietnamese Salad, Wedang Uwuh",  Rp. 75.000 - 100.000 ,Sedang,"Nyaman, Santai, Tenang, Trendi","Berkelompok, Turis","Toilet, Parkiran","Surganya para penikmat kuliner, Greens And Beans dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!","Greens And Beans Japanese Food 5 Spices Lemonade, Chai Cappucino, Custom Salad, Dressing, Fish Ball Soup, Hot Chai Thai, Kale Smoothies, Korean Bibimbap, Nasi Campur Bali Matah, Pitaya Pump Up, Salmon Teriyaki, Tempeh Buddha Bowl, Thai Beef Salad, Thai Salad, Vietnamese Noodle Salad, Vietnamese Salad, Wedang Uwuh Nyaman, Santai, Tenang, Trendi Toilet, Parkiran Berkelompok, Turis Jl. Bahureksa No.9, Kelurahan Citarum, Kecamatan Bandung Wetan Sedang Surganya para penikmat kuliner, Greens And Beans dengan suasana nyaman yang membuat betah berlama-lama dan dilengkapi toilet yang terawat, parkiran. Sempurna untuk berkelompok. Tunggu apa lagi? Segera kunjungi!",greens and beans japanese food spices lemonade chai cappucino custom salad dressing fish ball soup hot chai thai kale smoothies korean bibimbap nasi campur bal matah pitaya pump up salmon teriyaki tempeh buddha bowl thai beef salad thai salad vietnamese noodle salad vietnamese salad wedang uwuh nyaman santai tenang trendi toilet parkir kelompok turis jl bahureksa no lurah citarum camat bandung wetan sedang surga nikmat greens and beans suasana nyaman buat betah lama lama lengkap toilet awat parkir sempurna kelompok tunggu apa segera kunjung
